Project ID,Project Name,Branch,Region,Start Date,Status,Issue Title,Severity,Description,Implication,Cost Impact,Management Comments 1,Management Comments 2,Recommendation,Branch Manager,Operations Manager,Supervisor
126605,Langata,N/A,N/A,2025-02-01,active,Debtors' Analysis,medium,"Findings.An analysis of the debt balances as at C.O.B 04/02/2025 (Exclusive of Institutions) was performed to identify any occurrences of bad debts or unresolved balances by route. The findings were as detailed below:

Route
Customer name
Pending balance
Remarks (Management Comments)


Embulmbul
Tuktuk -Embulmbul
10,910.14
We are following up with sales rep for clearance


Karen
Tuktuk -Karen
925.25
We are following up with sales rep for clearance


Kawangware
Eustace Mwangi Wanjiku
7,770.00
Balance from 1 day's sale


Kawangware
Veronica Bonareri
1,700.00
Balance from 1 day's sale


Kilimani
Route direct sales
1,323.01
Balance from 1 day's sale


Kiserian
Hillary Mutua
8,618.65
We are following up with sales rep for clearance


Kiserian
John Musyoka
12,865.00
We are following up with sales rep for clearance


Kiserian
Peter Kariuki
4,091.00
Blacklisted


Kiserian
Phillip Vuyala
25,438.00
We are following up with sales rep for clearance


Kiserian
Timothy Maina
30,752.00
We are following up with sales rep for clearance


Minishop V
Minishop Walk In-Ngumo
404.50
We are following up with sales rep for clearance


Nkoroi
Michael Mwangi
29,801.68
We are following up with sales rep for clearance


Rongai
Samson Ngugi Wanjira
5,515.00
Balance from 1 day's sale


Rongai
Vincent Otieno-Rongai
4,520.00
Balance from 1 day's sale


SouthLands
TukTuk-Southlands
25,570.33
We are following up with sales rep for clearance


 
Grand Total
122,001.51","Debt balances were minimal, therefore well controlled, however efforts should be made to recover the pending balances.",122001.0,,,Follow up on pending balances for clearance.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Stock count,medium,"- Verification of registers for the period ranging 01/01/25 - 06/02/2025 revealed that they were properly updated and matched SAP system figures.- Physical stock count of all items on 07/02/2025 and comparison with SAP balances revealed minimal variations.The table below shows the summary of the stock findings

ITEM
BOOK STOCK
PHYSICAL STOCK
VARIATION


White ingredients 9Kgs
1,444
1,444
00


White ingredients 18Kgs
00
00
00


Brown bread ingredients 7kg
11
11
00


White Flour (50kg)
843.5
843.5
00


Brown Flour(50kg)
11
11
00


Vegetable Oil (ltrs)
196.443
200
3.557


Wheat Bran (kg)
35.95
35
(0.95)


Yeast - 125gms
1,433
1,433
00


Polybags
446,598
446,198
(400)


Finished product(400g)
17,192.5
17,103
(89.5)


Yellow crates
3,480
3,480
00


Black crates (family pack)
698
698
00",,None,,,- The management to ensure that the set stock controls are consistently adhered to avoid stock variances.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Stock count,medium,- Physical stock count on 07/02/2025 showed insignificant variations.- Stock take registers at the branch showed managers and supervisors stocks were done on daily basis while operations manage did weekly stock count. All findings were properly documented on the registers. - Stock take register balances showed minimal variations when compared to SAP balances.,,None,,,- Noted strong internal controls were commendable and encouraged in future.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Dough weights,medium,- Dough weights were sampled during first shift on 07.02.2025. Weights fell within the allowed range of dough weight standards.,,None,,,- adherence to set dough dividing weights is commendable. This should be ensured in future for production of standard weight bread.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Packed bread weights,medium,"- Packed bread weights were sampled on 07/02/2025 and weights recorded ana analyzed.- Overweight bread was noted especially for 600g white bread (CT and barrel).·         Bread weights were sampled on 07/02/2025 and the following below were the results.









Variety
Qty sampled
Over wt.
Std wt.
Under wt.


400g CT white
75
04
71
00


600g CT white
75
37
34
04


600g barrel W
75
71
04
00


800g CT W
75
02
64
09


Totals
300
114
173
13


Percentage
100%
38%
57.66%
4.33%




Variety
Overall Avg Wt. (g)
% over Wt.
% correct Wt.
% under  Wt.


400g CT white
404.83
5.33%
94.67%
0.00%


600g CT white
611.39
49.33%
45.34%
5.33%


600g barrel W
625.76
94.67%
5.33%
0.00%


800g CT W
796.77
2.67%
85.33%
12%",,None,,,- Standard set dough dividing weights should be adhered to in order to ensure production of standard weight bread.- Noted high overweight bread should be addressed.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,packed bread weights,medium,- Packed bread weighed on 07/02/25 showed high overweight bread for 600g white bread variety.,,None,,,- High packed bread overweight rate noted should be addressed.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Production damage analysis,medium,"·          The test was conducted to determine the extent of damages produced during production and those replaced as market damages and find out if they were within expected/set limits. High damages suggest bread of inferior quality produced.·          Both market and production damages were analyzed from 01/01/2025 - 31/01/2025.PRODUCTION DAMAGE ANALYSIS:·          Production damage rate is tabulated below.



01/01/25 - 31/01/25



Particulars
Quantity


A
Total bread yield (in 400g)
970,436


B
Production damages resulting
2,898.25


C
Production damage rate % B/A*100)
0.299


D
Production damage limit (A*0.2%)
1,941


E
Difference (C-B)
(957.25)",,None,,,·          Proper baking processes will ensure that damages are fully checked.·          The management should focus on efforts to address high production damages to ensure that the company doesn’t lose revenues.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,casual staff wage payments.,medium,- Scrutiny of casual payment vouchers and muster roll from 01/02-06/02/25 showed that all casual workers paid on payment vouchers were the same captured on muster roll and biometric system.,,None,,,- Adherence to set policies on casual hiring and consequent registering them on muster roll and biometric system is encouraged in future.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Invoice payments.,medium,- Analysis of cash flow and debtors analysis from 01/02/25 - 08/02/25 revealed that payments are mainly cash based and only institutions and mini shops (two of them) do cashless payment.- All invoices at the branch are cleared as per company policies.,,None,,,- Noted adherence to timely payments is commendable and encouraged.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Cash count,medium,"- Physical cash was verified on 07/02/25 and was compared to SAP B/F balance. A negligible variation of Kshs. -2.76 was noted.- Cash count findings are tabulated below.

Index
Particulars
Kshs.


A
Balance B/F (c/low no. 311202)
1,250,631.76


B
Cash in
107,705.00


C
Mpesa Balance
0.00


D
Vouchers
11,039.00


E
Banking
1,240,800.00


F
IOU’s
9,000.00


G
Expected cash at hand (A+B-C-D-E-F)
97,497.76


H
Physical cash
97,495.00


I
Difference (D-C)
(2.76)",,None,,,·          Observed cash control is commendable.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Mini shop spot check,medium,- Spot check at the mini shop on 07/02/25 showed that all bread transferred at the mini shop was properly accounted for. -Bread sales payments were through Mpesa and Mpesa balance tallied that of computed net sales.,,None,,,- proper controls at the mini shop is commendable and encouraged.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Mini shop spot check.,medium,- Spot check at the mini shop on 07.02.2025 showed that customers paid for bread upon collection and payments were made through Mpesa.,,None,,,- Mini shop bread payment policies were adhered to.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Debtors analysis,medium,Debtors analysis was extracted from SAP system as at 07/02/25.It was noted that many customers had no outstanding balances.Few exceptions noted were duly explained and reasons were valid (few debts were recoverable),,None,,,- Zero outstanding balance for customers is commendable.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Debtors analysis.,medium,- Daily reporting of outstanding balances was done at the branch according to records verified on 09.02.2025.,,None,,,- Adherence to set policy on daily reporting is commendable.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Debtors analysis,medium,- debtors analysis for 01.02.25 - 08/02.25 was analyzed to determine if customers with outstanding balances was supplied with bread.- It was noted that no customer with outstanding balance was supplied with bread.,,None,,,- Adhering to set customer supply policy is encouraged.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Production efficiency,medium,"·          Analysis was done from 01/01/2025 - 31/01/2025. Production efficiency is tabulated below;



01/01/25 - 31/01/2025



Particulars
Qty.


A
Production bags (*50kg)
5,061


B
Production staff hired
1,147


C
Targeted staff to hire (A/4.5)
1,125


D
Difference (C-B)
(22)


E
Production efficiency
4.41


F
Inefficiency cost implication-kshs
23,905.20",,None,,,·          The branch management should address production inefficiency noted.·          Branch management should ensure observed proper planning is maintained.·          Surplus costs incurred from production inefficiency should be surcharged.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Production efficiency analysis,medium,- Analysis was done from 01.01.25 - 31.01.25 and revealed that set production efficiency of 4.5 was not realized.- Production efficiency realized was 4.41.,,None,,,- Set operational production efficiencies should be adhered to.- Surplus payments due to production inefficiency should be recovered through surcharge.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Production efficiency analysis.,medium,- Analysis for the period ranging 01/01-31/01/25 showed that set targets were not completed on time hence production inefficiency.,,None,,,- The branch management should ensure that set production targets are realized.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Packing efficiency analysis.,medium,"·          Packing efficiency (01/01/2025 – 31/01/25) is tabulated below;



01/01/25 - 31/01/2025



Particulars
Qty.


A
Produced bread in pieces (400g)
980,118


B
Staff meal issued + damages
3,595.5


C
Transferred unpacked (pcs)
00


D
Net bread for packing (A-B)
964,561


E
Targeted packers to Hire (D/1425)
677


F
Packers hired
670


G
Difference (E-F) in
07


H
Packing efficiency (crates/packer)
95.98",,None,,,- Realization of set packing efficiency should be maintained at the branch.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Motor vehicle fuel consumption.,medium,"·           Analysis for motor vehicle fuel consumption was carried out from 01/01/2025 – 31/01/2025 and results were analyzed on the below table.











M/v No.
Km covered
fuel
Expcetd fuel
Variance
 Std km/l
Actual rate km/l


KDL 013U
4,485
640
640.71
0.71
7.0
7.0


KDH 604N
6,073
868
867.57
-0.42
7.0
7.0


KDH 587N
4,412
630
630.29
0.29
7.0
7.03


KDL 209H
5,241
746
748.71
2.71
7.0
7.0


KCH 933N
5,435
834
836.15
2.15
6.5
6.52


KDD 024F
4,863
641
648.4
7.4
7.5
7.59


KDK 120S
4,072
611
581.71
-29.3
7.0
6.66


KDK 285W
3,885
553
555
02
7.0
7.03


KDL 240U
6,420
918
917.14
-0.86
7.0
6.99


KCJ 435L
4,649
715
715.23
0.23
6.5
6.5


KCZ 211V
1,812
244
241.6
-2.4
7.5
7.43


KBV 290R
2,646
403
407.08
4.08
6.5
6.566


KBL 386K
1,067
164
164.15
0.15
6.5
6.51


KDL 160K
3,979
631
568.43
-62.57
7.0
6.31


KCJ 436L
3,295
466
506.92
40.92
6.5
7.07


KCJ 710X
1,636
244
251.69
7.69
6.5
6.7",,None,,,- Economical fuel consumption for most sales vans is commendable.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Generator fuel consumption.,medium,"·           Generator fuel consumption from 01/01/2025 – 08/02/2025.·           Below is a tabular illustration of generator consumption.GENERATOR : (01/01/25 - 08/02/25)

Index
Details
Qty.


A
Opening bal (ltrs)
Full tank+00


B
Closing bal (ltrs)
Full tank +00


C
Purchases (ltrs)
1,572


D
Hours run (Hours)
41.3


E
Fuel consumed (ltrs) A+C-B
1,572


F
Consumption/hrs. (ltrs/hr)E/D
38.06

·           Set standard fuel consumption for the generator was not provided.",,None,,,·          The branch management should liaise with KAF to have set fuel consumption standard for the generator.,N/A,N/A,N/A
126867,Migori,N/A,N/A,2025-02-06,active,Geerator fuel consumption.,medium,Analysis of generator fuel consumption from 01.01.25 - 08.02.2025 showed that fueling was done as per telematic readings.All bought fuel was drained into the genset tank.,,None,,,- Generator fuel control observed is commendable.,N/A,N/A,N/A
126992,Dandora 2&3,N/A,N/A,2025-02-07,active,Stock Verification,medium,A physical stock count of raw materials and finished product was conducted on 8 February 2025 at D2 &D3 branch to verify the accuracy of physical inventory balances against the recorded balances in the SAP System and to determine if stock controls in place were working effectively.,"Significant variation in white flour is an indication that inventory tracking controls are weak and there is poor coordination between inventory receiving and posting.
Bread positive variations are brought up by credit notes for fresh bread that had not been posted and approved at the time of stock this indicates a weak control on timely posting of credit notes.
Significant opening balances in crates is an indication that the crates controls are weak which poses a high risk of loss.",None,,,"The branch management strengthens the stock recording, stock taking and stock posting controls to alleviate or minimize the noted variancesThe branch should also ensure timely posting of credit notes to avoid distorting the warehouse balances.",N/A,N/A,N/A
126992,Dandora 2&3,N/A,N/A,2025-02-07,active,Bread weight Check,high,"·       Weight check for packed bread ready to be dispatched to the market was done to ensure that bread weight was compliant to the standard weights of 400g,600g ,800g and 1.5 kg as per KEBS.·       Underweight and over weights were noted in the following categories:Ø  400g CTW/Butter-8% underweight &12% overweight.Ø  600g CTW/Butter-1% underweight & 28% overweight.Ø  800 Barrel-36% underweight and 3 % overweightØ  1.5 CTW/Butter-13% underweight &3% overweightØ  400g Barrel-7% underweight and 28% overweight.·       Below is the summary of the findings:","· The presence of both underweight and overweight bread highlighted shortcomings in the enforcement of the established dough weight standards for certain varieties, as well as a failure to monitor the production process effectively, leading to increased chances of bread overcooling.",0.0,,,Follow the established quality and weight standards for bread to reduce the occurrences of both underweight and overweight loaves.A steady and continuous observation of the production flow is necessary to avoid instances of overcooled bread.,N/A,N/A,N/A
126992,Dandora 2&3,N/A,N/A,2025-02-07,active,Bread Damages analysis,medium,"·       A detailed analysis of bread damage levels, both from production and market deformities, was done from January 8th, 2025, to February 8th, 2025, to ensure the branch was following its quality standards.·       It was noted that:ü  Production bread damages stood at 0.26% of total production, which exceeded the set limit of 0.2%ü  Supermarket damages stood at 1.55% of total sales, which was above the set limit of 1% as illustrated in the table below:Table 3:Production Damages.

Details
Quantity/Value


Total Production damages= A
3,075.00


Total Production = B
1,167,143.53


Prod. Damages % C=(A/B) %
0.26%


KPI =D
0.20%


Difference E=D-C
-0.06%


Cost Implication F=(E*B) *53
-37,115.16

NB: The production damages analysis above excludes the oven damages of 79 loaves.Table 4:Market Damages.

Details
Quantity/Value


Total Market damages= A
21,928.45


Total Sales = B
1,419,087.75


Market. Damages % C=(A/B) %
1.55%


KPI =D
1.00%


Difference E=D-C
-0.55%


Cost Implication F=(E*B) *53
-413,664.07","The bread damages went beyond the set thresholds, suggesting a decline in bread quality.",450779.0,,,Enhance controls within the production process to ensure bread produced is of good quality thereby minimizing the possibility of excess production and market damages.,N/A,N/A,N/A
126992,Dandora 2&3,N/A,N/A,2025-02-07,active,Mixing chart analysis,medium,·       An analysis of both the mixing chart and mixing chart summaries for the period 8 January 2025 to 8 February 2025 was done to determine if the raw materials’ consumption were as per the set BOM and if the set yield and quality standards were achieved for production.·       We noted the following:ü  The average yield was 191.15 loaves per bagü  Average production was 197.06 bags equivalent to 91.23% of the set target of 216 bags.ü  Utto units’ consumption to bags of flour ratio was 1:1                   434 cases of remixes,·       91.23% of the production target achievement indicated that there was room for improvement.The high number of remixes implies lapses in quality controls within the production process or machine downtime.,None,,,·       The branch management to ensure regular servicing and maintenance of machines to mitigate or quickly resolve cases of breakdowns that lead to remixes.,N/A,N/A,N/A
